anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,mean,rating
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
32,91,21,51,45,60,26,108,160,126,72,2
39,69,41,59,29,73,25,98,134,154,72.1,2
14,61,9,30,28,26,20,64,52,81,38.5,4
33,95,33,75,53,83,27,120,129,173,80.2,1
20,77,14,38,39,35,26,117,86,143,59.5,3
14,84,11,49,24,52,13,85,89,120,54.1,3
7,59,7,31,20,22,12,78,51,110,39.7,4
11,55,7,24,20,30,11,59,73,74,36.4,4
32,100,21,48,45,62,29,135,133,197,80.2,1
